"finding_id","severity","affected_file_function","failure_mode","user_impact","proposed_fix","tests_required","rollout_order"
"OPT0-HIGH-001","HIGH","functions_python/services/portfolio/optimizer_core.py::_run_solver,_postprocess_weights,run_optimization; frontend/src/hooks/usePortfolioActions.ts::processOptimizationResult","Solver failure degrades to fallback weights while losing higher-level constraints; frontend treats fallback as applicable.","User may accept a portfolio that violates geo/group/tactical/objective constraints.","Add final compliance validator after solver and fallback; classify fallback_compliant vs fallback_non_compliant; propagate lost_constraints and fallback_reason; frontend blocks fallback_non_compliant.","OPT1-T001; OPT1-T002; OPT1-T006","P0-01,P0-04"
"OPT0-HIGH-002","HIGH","functions_python/services/portfolio/constraints_builder_v1.py::_resolve_risk_budget; optimizer_core.py::_run_solver,run_optimization","vol_band is built and reported but not enforced as hard or soft compliance status.","Risk profile may appear capped while achieved volatility can leave the intended band.","Choose policy: enforce vol_band as postcheck hard constraint for strict mode or emit optimal_with_warnings when outside band; add achieved_vol compliance flag.","OPT1-T007","P1-01"
"OPT0-HIGH-003","HIGH","functions_python/services/portfolio/feasibility_precheck.py::_check_bucket_not_representable,run_feasibility_precheck","Precheck only detects zero representability, not maximum attainable exposure under max_weight, min_weight and locks.","Impossible bucket floors can reach solver and produce fallback or opaque infeasible results.","Add max_attainable_exposure precheck using sorted per-asset exposures and remaining budget after locked weights.","OPT1-T005","P1-02"
"OPT0-HIGH-004","HIGH","functions_python/services/portfolio/suitability_engine.py::is_fund_eligible_for_profile; utils.py::get_v2_asset_mix","Missing or empty V2 exposure defaults real_eq to 0 in suitability path.","Incomplete funds can pass conservative profiles as if they had no equity.","Require usable exposure for profiles 1-4 unless explicit low-risk classification and safe asset type; return REVIEW/BLOCKED reason for missing exposure.","OPT1-T003","P0-03"
"OPT0-HIGH-005","HIGH","functions_python/services/portfolio/utils.py::_normalize; optimizer_core.py::_postprocess_weights,run_optimization","Normalization denominator clamps negatives but numerator returns raw values, so negative upstream weights can persist.","Negative weights may reach final weights if upstream solver/cleaning contract breaks.","Replace normalization with finite non-negative sanitize or reject; final validator asserts no negative, finite, sum 1, complete used_assets.","OPT1-T004; OPT1-T009","P0-02,P0-01"
"OPT0-MED-006","MEDIUM","functions_python/services/portfolio/utils.py::get_effective_group_map; optimizer_core.py::_build_group_vector,_apply_standard_constraints","Group constraints can use derived/ms/legacy maps without returned source diagnostics.","Optimizer constraints/reporting may rely on lower-confidence sources without user visibility.","Add group_source diagnostics per constraint vector and warning when source != portfolio_exposure_v2.","OPT1-T010","P1-03"
"OPT0-MED-007","MEDIUM","functions_python/services/portfolio/utils.py::_as_fraction,get_v2_asset_mix","Mixed-scale or malformed asset_mix is normalized silently.","Bad exposure data can be hidden by runtime normalization and final vector sums.","Add read diagnostics: detected_scale, input_sum, normalized_sum, source_path, mixed_scale_warning.","OPT1-T011","P1-03"
"OPT0-MED-008","MEDIUM","functions_python/services/portfolio/optimizer_core.py::run_optimization","Successful results return warnings=[] even with fallbacks/degradations.","User and downstream code miss solver fallback, lost constraints and data readiness gaps.","Populate warnings from explainability and fallback_map; add non-empty warning invariant for fallback/legacy paths.","OPT1-T002; OPT1-T012","P0-01,P1-03"
"OPT0-MED-009","MEDIUM","frontend/src/hooks/usePortfolioActions.ts::mapOptimizationResultWeights","Frontend rounds and filters weights <=0.01 percent without renormalizing displayed portfolio.","Displayed/applied portfolio can drift from backend weights and sum != 100.","Normalize displayed weights to 100 or show residual; add UI invariant before apply.","OPT1-T009","P0-04"
"OPT0-MED-010","MEDIUM","functions_python/services/portfolio/optimizer_core.py::_build_expected_returns_and_cov; quant_core.py::apply_black_litterman","Tactical views can be dropped/fallback while explainability still states tactical impact.","User may believe tactical views affected the portfolio when they did not.","Track requested/applied/dropped views and BL success/fallback reason; report tactical_effective=false when none applied.","OPT1-T013","P2-01"
"OPT0-MED-011","MEDIUM","functions_python/services/data_fetcher.py::get_dynamic_risk_free_rate; api/endpoints_portfolio.py::optimize_portfolio_quant","Optimizer call can write RF cache or snapshot when options are enabled.","Read-only/dry-run and reproducibility expectations are blurred.","Introduce optimizer execution_mode with no_write/no_snapshot/no_network options for audits and tests.","OPT1-T014","P2-03"
"OPT0-MED-012","MEDIUM","frontend/src/utils/fundSwapper.ts::findAlternatives; directSearch.ts::findDirectAlternativesV3","Recommendation layer can use universal fallback and commercial/retrocession ranking.","Recommendation list can become taxonomically broad or commercially biased without enough disclosure.","Expose recommendation_tier, commercial_sort_used, suitability_status and concentration checks.","OPT1-T015","P2-01"
"OPT0-LOW-013","LOW","optimizer_core.py::run_optimization; data_fetcher.py::get_dynamic_risk_free_rate","Optimizer result lacks run_id/input hash/source stamps.","Harder to reproduce output after cache/RF/data changes.","Add run_id, request_hash, universe_hash, price_as_of, rf_source, optimizer_version and constraints_version.","OPT1-T016","P2-02"
"OPT0-LOW-014","LOW","frontend/src/utils/rulesEngine.ts::generateSmartPortfolioLocal","Local SmartPortfolio preview can still generate portfolios with local seeds.","Users may confuse preview with backend optimizer authority.","Mark local outputs as preview_only and keep separate from optimizer result path.","OPT1-T017","P2-01"
