isin,name,review_group,review_priority,asset_type,asset_subtype,region_primary,equity_style_box,market_cap_bias,fi_credit_bucket,fi_duration_bucket,risk_bucket,is_suitable_low_risk,classification_confidence,exposure_confidence,warnings,audit_flags,legacy_asset_class,legacy_category,equity_exposure,bond_exposure,cash_exposure,other_exposure
ES0162333035,Merchrenta FI,ALL_CONFLICTS,85,FIXED_INCOME,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LOW,False,0.797,0.45,FI_UNKNOWN_SUBTYPE | FI_UNKNOWN_CREDIT_BUCKET | FI_UNKNOWN_DURATION_BUCKET,EXCESSIVE_WARNINGS | FI_WITHOUT_CREDIT | FI_WITHOUT_DURATION | MISSING_REGION_PRIMARY | UNKNOWN_SUBTYPE,RF,RF Otros,0.0,100.0,0.0,0.0
ES0133593030,"EUROBOLSA SELECCION SICAV, SA",ALL_CONFLICTS,80,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,MEDIUM,False,0.45,0.45,,LOW_CONFIDENCE | MISSING_REGION_PRIMARY | NO_METRICS_AND_NO_EXPOSURE | UNKNOWN_ASSET_TYPE | UNKNOWN_SUBTYPE,Otros,,0.0,0.0,0.0,0.0
LU0251131362,Fidelity Funds - Fidelity Target™ 2030 Fund A-Acc-EUR,ALL_CONFLICTS,75,UNKNOWN,UNKNOWN,US,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,MEDIUM,False,0.432,0.45,REGION_PRIMARY_BORDERLINE,LOW_CONFIDENCE | NO_METRICS_AND_NO_EXPOSURE | UNKNOWN_ASSET_TYPE | UNKNOWN_SUBTYPE,Otros,Fecha Objetivo 2026-2030,0.0,0.0,0.0,0.0
IE00BYX5P602,Fidelity MSCI World Index Fund EUR P Acc (Hedged),ALL_CONFLICTS,70,UNKNOWN,UNKNOWN,GLOBAL,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,MEDIUM,False,0.48,0.45,,LOW_CONFIDENCE | NO_METRICS_AND_NO_EXPOSURE | UNKNOWN_ASSET_TYPE | UNKNOWN_SUBTYPE,Otros,-,0.0,0.0,0.0,0.0
LU0251119078,Fidelity Funds - Fidelity Target™ 2035 Fund A-Acc-EUR,ALL_CONFLICTS,70,UNKNOWN,UNKNOWN,US,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,MEDIUM,False,0.46,0.45,,LOW_CONFIDENCE | NO_METRICS_AND_NO_EXPOSURE | UNKNOWN_ASSET_TYPE | UNKNOWN_SUBTYPE,Otros,Fecha Objetivo 2031-2035,0.0,0.0,0.0,0.0
LU1254412460,abrdn SICAV I - Indian Bond Fund A Acc EUR,ALL_CONFLICTS,65,FIXED_INCOME,UNKNOWN,EMERGING,UNKNOWN,UNKNOWN,MEDIUM_QUALITY,LONG,LOW,True,0.9124,0.45,FI_UNKNOWN_SUBTYPE,EMERGING_LOW_RISK_CONFLICT | UNKNOWN_SUBTYPE,RF,RF Otros,0.0,100.0,0.0,0.0
ES0140986011,Gesconsult Oportunidad Renta Fija A FI,ALL_CONFLICTS,60,FIXED_INCOME,CORPORATE_BOND,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LOW,False,0.8963,0.45,FI_UNKNOWN_CREDIT_BUCKET | FI_UNKNOWN_DURATION_BUCKET,FI_WITHOUT_CREDIT | FI_WITHOUT_DURATION | MISSING_REGION_PRIMARY,Otros,,0.0,100.0,0.0,0.0
IE00BMW2TK08,Lazard Global Convertibles Recovery Fund BP Acc EUR Hedged,ALL_CONFLICTS,50,FIXED_INCOME,CONVERTIBLE_BOND,GLOBAL,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,MEDIUM,False,0.924,0.45,FI_UNKNOWN_CREDIT_BUCKET | FI_UNKNOWN_DURATION_BUCKET,FI_WITHOUT_CREDIT | FI_WITHOUT_DURATION,RF,RF Convertibles Global - EUR Cubierto,0.0,100.0,0.0,0.0
LU0203937692,UBS (Lux) Bond SICAV - Convert Global (EUR) P-acc,ALL_CONFLICTS,50,FIXED_INCOME,CONVERTIBLE_BOND,GLOBAL,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,MEDIUM,False,0.924,0.45,FI_UNKNOWN_CREDIT_BUCKET | FI_UNKNOWN_DURATION_BUCKET,FI_WITHOUT_CREDIT | FI_WITHOUT_DURATION,RF,RF Convertibles Global - EUR,0.0,100.0,0.0,0.0
LU0501220429,Global Evolution Funds Frontier Markets R EUR,ALL_CONFLICTS,50,FIXED_INCOME,EMERGING_MARKETS_BOND,GLOBAL,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,MEDIUM,False,0.924,0.45,FI_UNKNOWN_CREDIT_BUCKET | FI_UNKNOWN_DURATION_BUCKET,FI_WITHOUT_CREDIT | FI_WITHOUT_DURATION,RF,RF Global Emergente - Sesgo EUR,0.0,100.0,0.0,0.0
LU0571100824,Groupama Europe Convertible NC,ALL_CONFLICTS,50,FIXED_INCOME,CONVERTIBLE_BOND,EUROPE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,MEDIUM,False,0.924,0.45,FI_UNKNOWN_CREDIT_BUCKET | FI_UNKNOWN_DURATION_BUCKET,FI_WITHOUT_CREDIT | FI_WITHOUT_DURATION,RF,RF Convertibles Europa,0.0,100.0,0.0,0.0
LU0607225447,CT (Lux) Global Convertible Bond Fund A Acc EUR Hdg,ALL_CONFLICTS,50,FIXED_INCOME,CONVERTIBLE_BOND,GLOBAL,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,MEDIUM,False,0.924,0.45,FI_UNKNOWN_CREDIT_BUCKET | FI_UNKNOWN_DURATION_BUCKET,FI_WITHOUT_CREDIT | FI_WITHOUT_DURATION,RF,RF Convertibles Global - EUR Cubierto,0.0,100.0,0.0,0.0
LU0823394852,BNP Paribas Funds Global Convertible Classic RH EUR Capitalisation,ALL_CONFLICTS,50,FIXED_INCOME,CONVERTIBLE_BOND,GLOBAL,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,MEDIUM,False,0.924,0.45,FI_UNKNOWN_CREDIT_BUCKET | FI_UNKNOWN_DURATION_BUCKET,FI_WITHOUT_CREDIT | FI_WITHOUT_DURATION,RF,RF Convertibles Global - EUR Cubierto,0.0,100.0,0.0,0.0
LU1161086159,Amundi Funds - Emerging Markets Blended Bond A EUR (C),ALL_CONFLICTS,50,FIXED_INCOME,EMERGING_MARKETS_BOND,GLOBAL,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,MEDIUM,False,0.924,0.45,FI_UNKNOWN_CREDIT_BUCKET | FI_UNKNOWN_DURATION_BUCKET,FI_WITHOUT_CREDIT | FI_WITHOUT_DURATION,RF,RF Global Emergente - Sesgo EUR,0.0,100.0,0.0,0.0
LU1670708764,M&G (Lux) Global Convertibles Fund EUR B Acc,ALL_CONFLICTS,50,FIXED_INCOME,CONVERTIBLE_BOND,GLOBAL,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,MEDIUM,False,0.924,0.45,FI_UNKNOWN_CREDIT_BUCKET | FI_UNKNOWN_DURATION_BUCKET,FI_WITHOUT_CREDIT | FI_WITHOUT_DURATION,RF,RF Convertibles Global,0.0,100.0,0.0,0.0
LU0217139020,Pictet-Premium Brands P EUR,ALL_CONFLICTS,40,EQUITY,UNKNOWN,UNKNOWN,UNKNOWN,LARGE,UNKNOWN,UNKNOWN,HIGH,False,0.94,0.45,,EQUITY_WITHOUT_STYLE_BOX | MISSING_REGION_PRIMARY | UNKNOWN_SUBTYPE,RV,RV Sector Consumo,100.0,0.0,0.0,0.0
LU0329430986,GAM Multistock - Luxury Brands Equity EUR E,ALL_CONFLICTS,40,EQUITY,UNKNOWN,UNKNOWN,UNKNOWN,LARGE,UNKNOWN,UNKNOWN,HIGH,False,0.94,0.45,,EQUITY_WITHOUT_STYLE_BOX | MISSING_REGION_PRIMARY | UNKNOWN_SUBTYPE,RV,RV Sector Consumo,100.0,0.0,0.0,0.0
LU2145461757,Robeco Smart Energy D-EUR Capitalisation,ALL_CONFLICTS,40,EQUITY,UNKNOWN,UNKNOWN,UNKNOWN,LARGE,UNKNOWN,UNKNOWN,HIGH,False,0.94,0.45,,EQUITY_WITHOUT_STYLE_BOX | MISSING_REGION_PRIMARY | UNKNOWN_SUBTYPE,Alternativos,RV Sector Energía Alternativa,100.0,0.0,0.0,0.0
LU2145463373,Robeco Smart Energy M2-EUR Capitalisation,ALL_CONFLICTS,40,EQUITY,UNKNOWN,UNKNOWN,UNKNOWN,LARGE,UNKNOWN,UNKNOWN,HIGH,False,0.94,0.45,,EQUITY_WITHOUT_STYLE_BOX | MISSING_REGION_PRIMARY | UNKNOWN_SUBTYPE,Otros,RV Sector Energía Alternativa,100.0,0.0,0.0,0.0
BE0943877671,DPAM B - Bonds Eur Government B Cap,ALL_CONFLICTS,35,FIXED_INCOME,GOVERNMENT_BOND,UNKNOWN,UNKNOWN,UNKNOWN,HIGH_QUALITY,UNKNOWN,LOW,True,0.9524,0.45,FI_UNKNOWN_DURATION_BUCKET,FI_WITHOUT_DURATION | MISSING_REGION_PRIMARY,RF,RF Deuda Pública EUR,0.0,100.0,0.0,0.0
ES0111166031,Atl Capital Corto Plazo A FI,ALL_CONFLICTS,35,FIXED_INCOME,CORPORATE_BOND,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,SHORT,LOW,True,0.9524,0.45,FI_UNKNOWN_CREDIT_BUCKET,FI_WITHOUT_CREDIT | MISSING_REGION_PRIMARY,RF,RF Ultra Corto Plazo EUR,0.0,100.0,0.0,0.0
