"suite","test/file","status","category","related_to_opt_3","deploy_blocker","recommendation"
"backend_p0_relevant","tests/test_optimizer_p0_contracts.py + optimizer_core + suitability","PASS","RELATED_TO_OPT_3","true","false","P0 contracts passed; keep as required release gate."
"backend_optimizer_extended","optimizer_p0 + optimizer_core + feasibility_precheck + suitability + quant_core + optimizer_invariants","PASS","RELATED_TO_OPT_3","true","false","Relevant optimizer/suitability/quant surface passed 84 tests."
"frontend_p0_contract","src/__tests__/optimizerP0Contract.test.ts","PASS","RELATED_TO_OPT_3","true","false","Fallback gating contract passed; keep as required release gate."
"backend_full_repo_overall","python -m pytest full suite","FAIL","NEEDS_FIX_BEFORE_DEPLOY","false","true","Full suite is red; fix, quarantine, or formally waive known legacy failures before deploy."
"frontend_full_repo_overall","npm test -- --run full suite","FAIL","NEEDS_FIX_BEFORE_DEPLOY","false","true","Full suite is red; fix, quarantine, or formally waive known legacy failures before deploy."
"backend_full","scripts/e2e_smoke_test.py::test_analyzer","ERROR","LEGACY_PREEXISTING","false","false","Pytest collects e2e smoke helper without opt_res fixture; exclude from default pytest or add fixture before claiming full-suite green."
"backend_full","scripts/tests/test_optimizer_v2.py::test_optimization_v2","FAIL","LEGACY_PREEXISTING","false","false","FinancialEngine legacy exposure constraint path assumes alternatives map is not None; outside optimizer_core P0."
"backend_full","scripts/tests/test_smart_portfolio.py::TestSmartPortfolio::test_hydraulic_balancer_logic","FAIL","LEGACY_PREEXISTING","false","false","Legacy patch target services.optimizer.firestore no longer resolves; outside OPT-3 optimizer_core path."
"backend_full","tests/test_backtester_history_fallback.py::test_compute_metrics_still_fails_with_too_few_observations","FAIL","LEGACY_PREEXISTING","false","false","Backtester short-history expectation differs from current behavior; unrelated to OPT-3."
"backend_full","tests/test_regression_coverage.py::test_analyzer_insufficient_history","FAIL","LEGACY_PREEXISTING","false","false","Analyzer short-history behavior returns success after dropping insufficient assets; unrelated to OPT-3."
"backend_full","tests/test_regression_coverage.py::test_frontier_short_history","FAIL","LEGACY_PREEXISTING","false","false","Frontier short-history behavior returns success; unrelated to OPT-3."
"backend_full","tests/xray/test_compare_risk_free.py::test_no_start_date","FAIL","OUT_OF_SCOPE","false","false","Backend app xray callable wrapper expects __wrapped__ on mocked https function; unrelated to optimizer P0."
"backend_full","tests/xray/test_compare_risk_free.py::test_with_start_date","FAIL","OUT_OF_SCOPE","false","false","Backend app xray callable wrapper issue; unrelated to optimizer P0."
